No;FCHI.Close;IBEX.Close
1;4522.450195;9313.200195
2;4537.629883;9335.200195
3;4480.470215;9197.400391
4;4403.580078;9059.299805
5;4333.759766;8909.200195
6;4378.75;8915.400391
7;4391.939941;8934.5
8;4312.890137;8787.700195
9;4210.160156;8543.599609
10;4272.259766;8554.900391
11;4124.950195;8281.400391
12;4206.399902;8444.200195
13;4336.689941;8722.900391
14;4311.330078;8567.700195
15;4356.810059;8692.5
16;4380.359863;8741
17;4322.160156;8590.599609
18;4417.02002;8815.799805
19;4392.330078;8788.5
20;4283.990234;8528.700195
21;4226.959961;8314.5
22;4228.529785;8468.099609
23;4200.669922;8499.5
24;4061.199951;8143.700195
25;3995.060059;7920.799805
26;4110.660156;8137.600098
27;4233.470215;8364.900391
28;4239.759766;8295.400391
29;4223.040039;8194.200195
30;4298.700195;8387
31;4238.419922;8267.599609
32;4155.339844;8013.700195
33;4248.450195;8215.599609
34;4314.569824;8349.200195
35;4353.549805;8461.400391
36;4406.839844;8611
37;4424.890137;8764.5
38;4416.080078;8767
39;4456.620117;8811.599609
40;4442.290039;8786.799805
41;4404.02002;8740.299805
42;4425.649902;8761.099609
43;4350.350098;8766.900391
44;4492.790039;9090.599609
45;4506.589844;9142.700195
46;4472.629883;8988.299805
47;4463;8962.799805
48;4442.890137;8978.799805
49;4462.509766;9051.099609
50;4431.970215;8992
51;4423.97998;8927.099609
52;4366.669922;8808.299805
53;4444.419922;8870.200195
54;4385.060059;8723.099609
55;4322.240234;8602.299805
56;4345.220215;8597.5
57;4250.279785;8387.700195
58;4284.640137;8398.599609
59;4245.910156;8292.900391
60;4303.120117;8427.599609
61;4312.629883;8497.599609
62;4345.910156;8546.299805
63;4490.310059;8820.700195
64;4511.509766;8861.5
65;4495.169922;8850.900391
66;4506.839844;8881.599609
67;4566.47998;8971.299805
68;4591.919922;9147.200195
69;4582.830078;9197.200195
70;4569.660156;9232.799805
71;4546.120117;9140
72;4533.180176;9283
73;4559.399902;9332.599609
74;4557.359863;9269
75;4301.240234;8702.099609
76;4322.810059;8660.799805
77;4338.209961;8775.200195
78;4316.669922;8663.900391
79;4293.27002;8663.099609
80;4319.990234;8721.5
81;4312.279785;8682.099609
82;4297.569824;8698.700195
83;4319.299805;8775.099609
84;4282.540039;8674.700195
85;4353.899902;8771.200195
86;4325.100098;8714
87;4431.52002;8918.099609
88;4512.640137;9079.200195
89;4514.740234;9107.299805
90;4505.620117;9034
91;4475.390137;8916.900391
92;4466;8957.900391
93;4421.779785;8801.599609
94;4423.379883;8823.5
95;4475.859863;8894.5
96;4448.72998;8831.400391
97;4405.609863;8769.5
98;4306.720215;8490.5
99;4227.02002;8303.799805
100;4130.330078;8126.700195
101;4171.580078;8250.799805
102;4153.009766;8199.900391
103;4367.240234;8667.299805
104;4380.029785;8702
105;4465.899902;8885.299805
106;4106.72998;7787.700195
107;4030.300049;7645.5
108;4088.850098;7835
109;4195.319824;8105.299805
110;4237.47998;8163.299805
111;4273.959961;8268.900391
112;4163.419922;8067.600098
113;4085.300049;7926.200195
114;4117.850098;8008.200195
115;4264.529785;8305.099609
116;4331.379883;8506
117;4335.259766;8473.900391
118;4385.52002;8552.299805
119;4372.509766;8531
120;4330.129883;8485.200195
121;4379.759766;8575.5
122;4376.25;8583.599609
123;4381.100098;8599.900391
124;4388;8575.700195
125;4394.77002;8560.200195
126;4446.959961;8661.400391
127;4420.580078;8479.200195
128;4439.810059;8587.200195
129;4409.169922;8513.400391
130;4327.990234;8277.299805
131;4321.080078;8263.5
132;4345.629883;8385.5
133;4410.549805;8539.400391
134;4415.459961;8562.5
135;4468.069824;8665.400391
136;4452.009766;8658.900391
137;4500.189941;8716.400391
138;4460.439941;8621.700195
139;4417.680176;8487
140;4437.060059;8550.099609
141;4400.52002;8450.599609
142;4389.939941;8468
143;4421.450195;8580.900391
144;4435.470215;8655.5
145;4406.609863;8599.5
146;4441.870117;8659.5
147;4457.490234;8685.400391
148;4438.220215;8716.799805
149;4439.669922;8762.799805
150;4542.169922;8908.900391
151;4529.959961;8899.5
152;4557.660156;9015.299805
153;4542.200195;9101.099609
154;4491.399902;9025.5
155;4439.799805;8866.599609
156;4387.180176;8724.200195
157;4370.259766;8702.400391
158;4373.220215;8720.5
159;4332.450195;8633.400391
160;4388.600098;8686.099609
161;4409.549805;8758.5
162;4488.689941;8823.599609
163;4407.850098;8711.400391
164;4398.680176;8688.200195
165;4432.450195;8740.400391
166;4443.839844;8796.299805
167;4448.259766;8779.400391
168;4453.560059;8751.599609
169;4503.089844;8769
170;4489.950195;8778.299805
171;4480.100098;8757.400391
172;4449.910156;8624.299805
173;4471.740234;8693.200195
174;4452.240234;8686.5
175;4405.169922;8608.700195
176;4470.919922;8767.900391
177;4450.22998;8740.700195
178;4508.910156;8865.299805
179;4520.299805;8950.099609
180;4540.120117;9061.200195
181;4536.069824;9100.400391
182;4552.580078;9216.200195
183;4540.839844;9139.700195
184;4534.589844;9173.299805
185;4533.569824;9197.200195
186;4548.580078;9201.299805
187;4509.259766;9143.299805
188;4470.279785;9040.700195
189;4414.669922;8873.400391
190;4377.459961;8791.599609
191;4461.209961;8918.799805
192;4476.890137;8937
193;4543.47998;8901.5
194;4530.950195;8756.799805
195;4489.27002;8639.200195
196;4508.549805;8658.200195
197;4536.529785;8687.099609
198;4501.140137;8638.5
199;4527.77002;8718
200;4504.350098;8622.900391
201;4529.580078;8614.599609
202;4548.350098;8651.5
203;4550.27002;8674.400391
204;4551.459961;8667
205;4578.339844;8688.200195
206;4560.609863;8669.200195
207;4528.819824;8607.099609
208;4574.319824;8664.700195
209;4631.939941;8893.299805
210;4694.720215;8960.400391
211;4760.77002;9186.400391
212;4803.870117;9331.299805
213;4769.240234;9218.400391
214;4819.22998;9340.799805
215;4833.27002;9412.799805
216;4822.77002;9336.700195
217;4849.890137;9407.900391
218;4833.819824;9371.700195
219;4834.629883;9333.599609
220;4848.009766;9344.900391
221;4838.470215;9327.099609
222;4899.399902;9462.900391
223;4900.640137;9488.200195
224;4909.839844;9515.900391
225;4888.22998;9452
226;4888.709961;9408.599609
227;4863.970215;9407.400391
228;4922.490234;9511.599609
229;4859.689941;9394.900391
230;4853.399902;9386.200195
231;4841.140137;9379.099609
232;4850.669922;9380.099609
233;4821.410156;9304.799805
234;4830.029785;9387.200195
235;4877.669922;9549.299805
236;4867.240234;9512.799805
237;4839.97998;9504.099609
238;4784.640137;9361.299805
239;4748.899902;9315.200195
240;4794.580078;9330.799805
241;4794.290039;9406.400391
242;4825.419922;9462.700195
243;4778.080078;9357.299805
244;4754.470215;9331.5
245;4766.600098;9329.700195
246;4826.240234;9438.400391
247;4828.319824;9378.099609
248;4888.189941;9484.099609
249;4895.819824;9510.200195
250;4924.859863;9584.099609
251;4899.459961;9554.700195
252;4867.580078;9500.299805
253;4888.759766;9561
254;4895.879883;9477.200195
255;4891.290039;9493.400391
256;4845.240234;9453.5
257;4960.830078;9751.5
258;4963.799805;9716
259;4995.129883;9798.5
260;4972.189941;9804.099609
261;4955;9801.700195
262;4960.47998;9850.5
263;4981.509766;9998.400391
264;4993.319824;10006.40039
265;4999.600098;9995.900391
266;4974.259766;9905.099609
267;4985.47998;9983.200195
268;5013.379883;10168
269;5029.240234;10245.79981
270;5002.430176;10211.90039
271;4994.700195;10229.29981
272;5032.759766;10324.90039
273;5017.430176;10302.90039
274;5046.200195;10389
275;5069.040039;10367.59961
276;5089.640137;10405.90039
277;5122.509766;10462.90039
278;5085.910156;10325.29981
279;5101.129883;10361.2002
280;5091.850098;10402.7002
281;5121.439941;10518.90039
282;5135.279785;10529
283;5107.450195;10437.7002
284;5101.859863;10416.29981
285;5101.109863;10360.5
286;4990.25;10264.5
287;5003.72998;10370.29981
288;5077.910156;10372.5
289;5059.200195;10377
290;5268.850098;10766.79981
291;5277.879883;10783.09961
292;5287.879883;10763.40039
293;5271.700195;10683.90039
294;5267.330078;10715.79981
295;5304.149902;10820.29981
296;5382.950195;11096.29981
297;5398.009766;11049.2002
298;5400.459961;11034.79981
299;5383.419922;10861.40039
300;5405.419922;10897
301;5417.399902;10957.79981
302;5406.100098;10982.40039
303;5317.890137;10786.09961
304;5289.72998;10684.90039
305;5324.399902;10835.40039
306;5322.879883;10793.40039
307;5348.160156;10916.29981
308;5341.339844;10907.40039
309;5336.640137;10904.2002
310;5305.939941;10876.90039
311;5283.629883;10880
312;5318.669922;10881
313;5343.410156;10905.90039
314;5307.890137;10884.7002
315;5269.220215;10879.7002
316;5265.529785;10871.7002
317;5264.240234;10953.09961
318;5299.709961;10978.29981
319;5240.589844;10842.40039
320;5261.740234;10882.09961
321;5243.290039;10775.79981
322;5216.879883;10699.59961
323;5263.310059;10759.40039
324;5310.720215;10848.90039
325;5274.259766;10740.7002
326;5281.930176;10709.90039
327;5266.120117;10630.79981
328;5295.75;10696.59961
329;5258.580078;10647.90039
330;5252.899902;10702.7002
331;5154.350098;10531.09961
332;5120.680176;10444.5
333;5195.720215;10604.2002
334;5180.100098;10523.59961
335;5152.399902;10498.40039
336;5145.160156;10488.79981
337;5165.640137;10509.5
338;5140.600098;10449.09961
339;5222.129883;10560.40039
340;5235.399902;10658.29981
341;5235.310059;10655.09961
342;5173.27002;10524.5
343;5216.069824;10588.09961
344;5199.220215;10564.79981
345;5117.660156;10426.59961
346;5127.700195;10446.5
347;5161.080078;10523.40039
348;5190.169922;10575.40039
349;5186.950195;10603.40039
350;5131.390137;10536.09961
351;5093.77002;10502.2002
352;5127.029785;10586.7002
353;5107.25;10513.90039
354;5130.490234;10549.09961
355;5203.439941;10658.40039
356;5207.890137;10676.5
357;5218.890137;10734.7002
358;5145.700195;10596
359;5115.22998;10450
360;5121.669922;10461.2002
361;5140.25;10481.5
362;5176.609863;10544.29981
363;5146.850098;10443.79981
364;5114.149902;10385.7002
365;5131.859863;10409.79981
366;5115.390137;10338.09961
367;5113.129883;10357.40039
368;5104.330078;10345.29981
369;5031.919922;10192.59961
370;5056.339844;10245.79981
371;5085.589844;10299.5
372;5123.259766;10325.5
373;5086.560059;10179.79981
374;5101.410156;10131
375;5114.620117;10124.90039
376;5113.490234;10129.59961
377;5176.709961;10322.59961
378;5209.009766;10336.2002
379;5217.589844;10371
380;5225.200195;10361.09961
381;5213.910156;10317.40039
382;5237.439941;10378.40039
383;5241.660156;10292.09961
384;5267.290039;10297
385;5281.290039;10305
386;5267.129883;10216.5
387;5268.759766;10189.59961
388;5281.959961;10368.90039
389;5293.77002;10328.5
390;5329.810059;10381.5
391;5350.439941;10255.7002
392;5367.410156;10257.5
393;5363.22998;9964.900391
394;5379.209961;10214.7002
395;5359.899902;10185.5
396;5363.649902;10142.29981
397;5362.410156;10278.40039
398;5360.810059;10275.90039
399;5351.740234;10258
400;5361.370117;10216.79981
401;5383.810059;10273.40039
402;5368.290039;10197.5
403;5372.379883;10222.7002
404;5386.810059;10161.40039
405;5394.799805;10205.7002
406;5374.890137;10153.29981
407;5455.399902;10347.79981
408;5494.129883;10197.5
409;5493.629883;10446
410;5503.290039;10523.5
411;5514.290039;10506.7002
412;5510.5;10457.79981
413;5517.970215;10357.79981
414;5480.640137;10230.7002
415;5471.430176;10228.7002
416;5407.75;10141.09961
417;5380.720215;10092.7002
418;5341.629883;10049.90039
419;5315.580078;9990.400391
420;5301.25;10013.90039
421;5336.390137;10088.7002
422;5319.169922;10010.40039
423;5366.149902;9993.400391
424;5352.759766;10013.90039
425;5390.459961;10053.5
426;5390.47998;10144.40039
427;5398.049805;10267.7002
428;5372.790039;10211
429;5316.890137;10085
430;5389.290039;10208.59961
431;5375.529785;10211.29981
432;5374.350098;10184
433;5383.859863;10262.59961
434;5386.830078;10306.90039
435;5427.189941;10288.29981
436;5399.450195;10260.5
437;5357.140137;10176.5
438;5349.299805;10150.40039
439;5420.580078;10244.09961
440;5382.910156;10234.29981
441;5352.77002;10207.7002
442;5385.970215;10304.59961
443;5364.720215;10182
444;5368.839844;10165.2002
445;5339.419922;10093.09961
446;5413.689941;10314.40039
447;5470.75;10411.40039
448;5523.939941;10426.5
449;5504.680176;10428.29981
450;5488.549805;10435.2002
451;5517.060059;10462.40039
452;5513.819824;10520.40039
453;5493.990234;10474.59961
454;5494.830078;10432.7002
455;5526.509766;10479.5
456;5541.990234;10584
457;5535.259766;10609.5
458;5495.160156;10563
459;5481.209961;10595.29981
460;5529.149902;10595.40039
461;5521.589844;10555.59961
462;5473.779785;10428.2002
463;5481.930176;10451.5
464;5454.549805;10399
465;5364.97998;10211.2002
466;5285.830078;10064.5
467;5161.810059;9810
468;5255.899902;9976.900391
469;5151.680176;9756.299805
470;5079.209961;9639.599609
471;5165.259766;9686.200195
472;5222.52002;9714.900391
473;5281.580078;9832.099609
474;5289.859863;9895.299805
475;5302.169922;9823.299805
476;5309.22998;9876.5
477;5317.370117;9822.400391
478;5344.259766;9902.400391
479;5343.930176;9900.200195
480;5320.490234;9840.299805
481;5262.560059;9738.599609
482;5136.580078;9531.099609
483;5167.22998;9590.799805
484;5170.22998;9586.799805
485;5187.830078;9599.299805
486;5254.100098;9646.200195
487;5274.399902;9686.099609
488;5276.709961;9727.5
489;5242.790039;9691.700195
490;5233.359863;9688.5
